English translation,Presens,Infinitiv,Imperativ,Past tense,Present perfect tense
accustom / get used to,vänjer,vänja,vänj!,vande,har vant
affect / impact,påverkar,påverka,påverka!,påverkade,har påverkat
agree,håller med,hålla med,håll med!,höll med,har hållit med
answer / reply,svarar,svara,svara!,svarade,har svarat
apply / be valid / concern,gäller,gälla,-,gällde,har gällt
ask,frågar,fråga,fråga!,frågade,har frågat
bake,bakar,baka,baka!,bakade,har bakat
bathe / swim,badar,bada,bada!,badade,har badat
be,är,vara,var!,var,har varit
be called,heter,heta,het!,hette,har hetat
begin / start,börjar,börja,börja!,började,har börjat
behave,beter sig,bete sig,bete dig!,betedde sig,har betett sig
blow / be windy,blåser,blåsa,blås!,blåste,har blåst
borrow,lånar,låna,låna!,lånade,har lånat
build,bygger,bygga,bygg!,byggde,har byggt
bully,mobbar,mobba,mobba!,mobbade,har mobbat
buy,köper,köpa,köp!,köpte,har köpt
call / phone,ringer,ringa,ring!,ringde,har ringt
care,bryr sig,bry sig,bry dig!,brydde sig,har brytt sig
care / concern oneself,bryr,bry,bry dig!,brydde,har brytt
celebrate,firar,fira,fira!,firade,har firat
change,förändrar,förändra,förändra!,förändrade,har förändrat
change / switch,byter,byta,byt!,bytte,har bytt
choose,väljer,välja,välj!,valde,har valt
clean / tidy,städar,städa,städa!,städade,har städat
close / shut,stänger,stänga,stäng!,stängde,har stängt
come,kommer,komma,kom!,kom,har kommit
concentrate,koncentrerar sig,koncentrera sig,koncentrera dig!,koncentrerade sig,har koncentrerat sig
cook / fix,lagar,laga,laga!,lagade,har lagat
cough,hostar,hosta,hosta!,hostade,har hostat
create / make,skapar,skapa,skapa!,skapade,har skapat
dance,dansar,dansa,dansa!,dansade,har dansat
dare,vågar,våga,våga!,vågade,har vågat
decide / determine,bestämmer,bestämma,bestäm!,bestämde,har bestämt
depend,beror,bero,bero!,berodde,har berott
describe,beskriver,beskriva,beskriv!,beskrev,har beskrivit
detest / loathe,avskyr,avsky,avsky!,avskydde,har avskytt
do / make,gör,göra,gör!,gjorde,har gjort
dream,drömmer,drömma,dröm!,drömde,har drömt
dress / clothe,klär,klä,klä!,klädde,har klätt
drink,dricker,dricka,drick!,drack,har druckit
earn,tjänar,tjäna,tjäna!,tjänade,har tjänat
eat,äter,äta,ät!,åt,har ätit
empty,tömmer,tömma,töm!,tömde,har tömt
enjoy oneself / feel comfortable / thrive,trivs,trivas,trivs!,trivdes,har trivts
exercise / train,tränar,träna,träna!,tränade,har tränat
feel / be,mår,må,må!,mådde,har mått
fetch / pick up,hämtar,hämta,hämta!,hämtade,har hämtat
fight,slåss,slåss,slåss!,slogs,har slagits
fill,fyller,fylla,fyll!,fyllde,har fyllt
find,hittar,hitta,hitta!,hittade,har hittat
flee / escape,flyr,fly,fly!,flydde,har flytt
follow,följer,följa,följ!,följde,har följt
forget,glömmer,glömma,glöm!,glömde,har glömt
get / may / be allowed to,får,få,få!,fick,har fått
get a haircut,klipper sig,klippa sig,klipp dig!,klippte sig,har klippt sig
get married,gifter sig,gifta sig,gift dig!,gifte sig,har gift sig
give,ger,ge,ge!,gav,har gett
go / travel (by vehicle),åker,åka,åk!,åkte,har åkt
go / walk,går,gå,gå!,gick,har gått
greet / say hello,hälsar,hälsa,hälsa!,hälsade,har hälsat
grow / cultivate,odlar,odla,odla!,odlade,har odlat
handle / manage,hanterar,hantera,hantera!,hanterade,har hanterat
happen,händer,hända,-,hände,har hänt
happen / occur,sker,ske,-,skedde,har skett
have,har,ha,ha!,hade,har haft
have the energy,orkar,orka,orka!,orkade,har orkat
have time,hinner,hinna,hinn!,hann,har hunnit
hear,hör,höra,hör!,hörde,har hört
help,hjälper,hjälpa,hjälp!,hjälpte,har hjälpt
hide,gömmer,gömma,göm!,gömde,har gömt
hope,hoppas,hoppas,hoppas!,hoppades,har hoppats
hurry,skyndar sig,skynda sig,skynda dig!,skyndade sig,har skyndat sig
know (information),vet,veta,vet!,visste,har vetat
know / feel,känner,känna,känn!,kände,har känt
learn,lär sig,lära sig,lär dig!,lärde sig,har lärt sig
leave / hand over,lämnar,lämna,lämna!,lämnade,har lämnat
lie,ljuger,ljuga,ljug!,ljög,har ljugit
light / switch on,tänder,tända,tänd!,tände,har tänt
like,gillar,gilla,gilla!,gillade,har gillat
listen,lyssnar,lyssna,lyssna!,lyssnade,har lyssnat
live,lever,leva,lev!,levde,har levt
live / reside,bor,bo,bo!,bodde,har bott
look,tittar,titta,titta!,tittade,har tittat
lubricate / grease / butter,smörjer,smörja,smörj!,smorde,har smort
make easier,underlättar,underlätta,underlätta!,underlättade,har underlättat
mean / signify,betyder,betyda,-,betydde,har betytt
meet,träffar,träffa,träffa!,träffade,har träffat
move,flyttar,flytta,flytta!,flyttade,har flyttat
need,behöver,behöva,-,behövde,har behövt
notice,märker,märka,märk!,märkte,har märkt
order,beställer,beställa,beställ!,beställde,har beställt
own,äger,äga,äg!,ägde,har ägt
park,parkerar,parkera,parkera!,parkerade,har parkerat
pass / manage,klarar,klara,klara!,klarade,har klarat
pay,betalar,betala,betala!,betalade,har betalat
perform,presterar,prestera,prestera!,presterade,har presterat
play,spelar,spela,spela!,spelade,har spelat
play (children / animals),leker,leka,lek!,lekte,har lekt
predict / foretell,spår,spå,spå!,spådde,har spått
prefer,föredrar,föredra,föredra!,föredrog,har föredragit
put / lay,lägger,lägga,lägg!,lade / la,har lagt
put / place / set,ställer,ställa,ställ!,ställde,har ställt
rain,regnar,regna,regna!,regnade,har regnat
raise / increase,höjer,höja,höj!,höjde,har höjt
reach,når,nå,nå!,nådde,har nått
read,läser,läsa,läs!,läste,har läst
recommend,rekommenderar,rekommendera,rekommendera!,rekommenderade,har rekommenderat
recycle,återvinner,återvinna,återvinn!,återvann,har återvunnit
relax,kopplar av,koppla av,koppla av!,kopplade av,har kopplat av
remember,kommer ihåg,komma ihåg,kom ihåg!,kom ihåg,har kommit ihåg
remember,minns,minnas,minns!,mindes,har mints
rent,hyr,hyra,hyr!,hyrde,har hyrt
report / register / notify,anmäler,anmäla,anmäl!,anmälde,har anmält
rest / relax,vilar,vila,vila!,vilade,har vilat
row,ror,ro,ro!,rodde,har rott
run,springer,springa,spring!,sprang,har sprungit
say / tell,säger,säga,säg!,sade / sa,har sagt
search / apply,söker,söka,sök!,sökte,har sökt
see,ser,se,se!,såg,har sett
seem,verkar,verka,verka!,verkade,har verkat
sell,säljer,sälja,sälj!,sålde,har sålt
send,skickar,skicka,skicka!,skickade,har skickat
separate / distinguish,skiljer,skilja,skilj!,skilde,har skilt
sew,syr,sy,sy!,sydde,har sytt
shower,duschar,duscha,duscha!,duschade,har duschat
sing,sjunger,sjunga,sjung!,sjöng,har sjungit
sleep,sover,sova,sov!,sov,har sovit
sneeze,nyser,nysa,nys!,nös,har nyst
snow,snöar,snöa,snöa!,snöade,har snöat
sort waste,sopsorterar,sopsortera,sopsortera!,sopsorterade,har sopsorterat
sow,sår,så,så!,sådde,har sått
speak,talar,tala,tala!,talade,har talat
spread,brer,bre,bred!,bredde,har brett
stare,glor,glo,glo!,glodde,har glott
stay / stop,stannar,stanna,stanna!,stannade,har stannat
steal / snatch,snor,sno,sno!,snodde,har snott
stop / finish / end,slutar,sluta,sluta!,slutade,har slutat
study,pluggar,plugga,plugga!,pluggade,har pluggat
study,studerar,studera,studera!,studerade,har studerat
suggest,föreslår,föreslå,föreslå!,föreslog,har föreslagit
support,stödjer,stödja,stöd!,stödde,har stött
talk,pratar,prata,prata!,pratade,har pratat
tell / explain,berättar,berätta,berätta!,berättade,har berättat
test / try,testar,testa,testa!,testade,har testat
think,tänker,tänka,tänk!,tänkte,har tänkt
think / believe,tror,tro,tro!,trodde,har trott
think / have an opinion,tycker,tycka,tyck!,tyckte,har tyckt
throw,slänger,slänga,släng!,slängde,har slängt
thunder,åskar,åska,åska!,åskade,har åskat
tip,dricksar,dricksa,dricksa!,dricksade,har dricksat
tolerate / stand,tål,tåla,tål!,tålde,har tålt
travel,reser,resa,res!,reste,har rest
try,provar,prova,prova!,provade,har provat
turn / swing,svänger,svänga,sväng!,svängde,har svängt
use,använder,använda,använd!,använde,har använt
visit,besöker,besöka,besök!,besökte,har besökt
vomit,spyr,spy,spy!,spydde,har spytt
wait,väntar,vänta,vänta!,väntade,har väntat
wish,önskar,önska,önska!,önskade,har önskat
wonder,undrar,undra,undra!,undrade,har undrat
work,arbetar,arbeta,arbeta!,arbetade,har arbetat
work,jobbar,jobba,jobba!,jobbade,har jobbat
work / function,fungerar,fungera,fungera!,fungerade,har fungerat
write,skriver,skriva,skriv!,skrev,har skrivit
